R Y M K 
-46.991720 -74.622743 -116.069278 -5.545185 
-60.807232 -60.807232 -116.069278 -5.545185 
-102.253766 -19.360697 -116.069278 -5.545185 
-60.807232 -60.807232 -116.069278 -5.545185 
-74.622743 -46.991720 -116.069278 -5.545185 
-88.438255 -33.176209 -116.069278 -5.545185 
-74.622743 -46.991720 -116.069278 -5.545185 
-19.360697 -102.253766 -116.069278 -5.545185 
-60.807232 -60.807232 -116.069278 -5.545185 
-117.455574 -34.562505 -145.086597 -6.931482 
-62.193528 -89.824551 -145.086597 -6.931482 
-76.009040 -76.009040 -145.086597 -6.931482 
-117.455574 -34.562505 -145.086597 -6.931482 
-62.193528 -89.824551 -145.086597 -6.931482 
-103.640063 -48.378016 -145.086597 -6.931482 
-48.378016 -103.640063 -145.086597 -6.931482 
-62.193528 -89.824551 -145.086597 -6.931482 
-61.500380 -75.315891 -130.577938 -6.238334 
-75.315891 -61.500380 -130.577938 -6.238334 
-75.315891 -61.500380 -130.577938 -6.238334 
-75.315891 -61.500380 -130.577938 -6.238334 
-102.946915 -33.869357 -130.577938 -6.238334 
-61.500380 -75.315891 -130.577938 -6.238334 
-89.131403 -47.684868 -130.577938 -6.238334 
-59.420935 -31.789912 -87.051958 -4.158889 
-45.605424 -45.605424 -87.051958 -4.158889 
-59.420935 -31.789912 -87.051958 -4.158889 
-73.236447 -17.974401 -87.051958 -4.158889 
-59.420935 -31.789912 -87.051958 -4.158889 
-45.605424 -45.605424 -87.051958 -4.158889 
-91.210848 -91.210848 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-77.395336 -105.026359 -174.103917 -8.317778 
-132.657382 -49.764313 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-132.657382 -49.764313 -174.103917 -8.317778 
-63.579824 -118.841871 -174.103917 -8.317778 
-139.588864 -194.850910 -319.190514 -15.249260 
-167.219887 -167.219887 -319.190514 -15.249260 
-194.850910 -139.588864 -319.190514 -15.249260 
-139.588864 -194.850910 -319.190514 -15.249260 
-222.481933 -111.957841 -319.190514 -15.249260 
-167.219887 -167.219887 -319.190514 -15.249260 
-181.035399 -153.404376 -319.190514 -15.249260 
-181.035399 -153.404376 -319.190514 -15.249260 
-125.773352 -208.666422 -319.190514 -15.249260 
-105.026359 -77.395336 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-17.281252 -58.727787 -72.543299 -3.465741 
-58.727787 -17.281252 -72.543299 -3.465741 
-17.281252 -58.727787 -72.543299 -3.465741 
-46.991720 -74.622743 -116.069278 -5.545185 
-60.807232 -60.807232 -116.069278 -5.545185 
-102.253766 -19.360697 -116.069278 -5.545185 
-74.622743 -46.991720 -116.069278 -5.545185 
-102.253766 -19.360697 -116.069278 -5.545185 
-88.438255 -33.176209 -116.069278 -5.545185 
-33.176209 -88.438255 -116.069278 -5.545185 
-74.622743 -46.991720 -116.069278 -5.545185 
-60.807232 -60.807232 -116.069278 -5.545185 
-88.438255 -33.176209 -116.069278 -5.545185 
-62.193528 -89.824551 -145.086597 -6.931482 
-76.009040 -76.009040 -145.086597 -6.931482 
-103.640063 -48.378016 -145.086597 -6.931482 
-103.640063 -48.378016 -145.086597 -6.931482 
-89.824551 -62.193528 -145.086597 -6.931482 
-76.009040 -76.009040 -145.086597 -6.931482 
-76.009040 -76.009040 -145.086597 -6.931482 
-62.193528 -89.824551 -145.086597 -6.931482 
-48.378016 -103.640063 -145.086597 -6.931482 
-103.640063 -48.378016 -145.086597 -6.931482 
-89.824551 -62.193528 -145.086597 -6.931482 
-117.455574 -34.562505 -145.086597 -6.931482 
-76.009040 -76.009040 -145.086597 -6.931482 
-76.009040 -76.009040 -145.086597 -6.931482 
-89.824551 -62.193528 -145.086597 -6.931482 
-48.378016 -103.640063 -145.086597 -6.931482 
-105.026359 -77.395336 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-77.395336 -105.026359 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-49.764313 -132.657382 -174.103917 -8.317778 
-44.912276 -31.096764 -72.543299 -3.465741 
-58.727787 -17.281252 -72.543299 -3.465741 
-31.096764 -44.912276 -72.543299 -3.465741 
-73.929595 -32.483060 -101.560618 -4.852037 
-73.929595 -32.483060 -101.560618 -4.852037 
-60.114083 -46.298572 -101.560618 -4.852037 
-87.745107 -18.667549 -101.560618 -4.852037 
-60.114083 -46.298572 -101.560618 -4.852037 
-32.483060 -73.929595 -101.560618 -4.852037 
-73.929595 -32.483060 -101.560618 -4.852037 
-105.026359 -77.395336 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-132.657382 -49.764313 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
