R Y M K 
-46.991720 -74.622743 -5.545185 -116.069278 
-88.438255 -33.176209 -5.545185 -116.069278 
-60.807232 -60.807232 -5.545185 -116.069278 
-46.991720 -74.622743 -5.545185 -116.069278 
-88.438255 -33.176209 -5.545185 -116.069278 
-33.176209 -88.438255 -5.545185 -116.069278 
-33.176209 -88.438255 -5.545185 -116.069278 
-76.009040 -76.009040 -6.931482 -145.086597 
-62.193528 -89.824551 -6.931482 -145.086597 
-48.378016 -103.640063 -6.931482 -145.086597 
-48.378016 -103.640063 -6.931482 -145.086597 
-48.378016 -103.640063 -6.931482 -145.086597 
-89.824551 -62.193528 -6.931482 -145.086597 
-62.193528 -89.824551 -6.931482 -145.086597 
-47.684868 -89.131403 -6.238334 -130.577938 
-61.500380 -75.315891 -6.238334 -130.577938 
-47.684868 -89.131403 -6.238334 -130.577938 
-75.315891 -61.500380 -6.238334 -130.577938 
-47.684868 -89.131403 -6.238334 -130.577938 
-45.605424 -45.605424 -4.158889 -87.051958 
-45.605424 -45.605424 -4.158889 -87.051958 
-31.789912 -59.420935 -4.158889 -87.051958 
-31.789912 -59.420935 -4.158889 -87.051958 
-45.605424 -45.605424 -4.158889 -87.051958 
-91.210848 -91.210848 -8.317778 -174.103917 
-118.841871 -63.579824 -8.317778 -174.103917 
-63.579824 -118.841871 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-77.395336 -105.026359 -8.317778 -174.103917 
-139.588864 -194.850910 -15.249260 -319.190514 
-153.404376 -181.035399 -15.249260 -319.190514 
-153.404376 -181.035399 -15.249260 -319.190514 
-194.850910 -139.588864 -15.249260 -319.190514 
-181.035399 -153.404376 -15.249260 -319.190514 
-139.588864 -194.850910 -15.249260 -319.190514 
-98.142329 -236.297445 -15.249260 -319.190514 
-167.219887 -167.219887 -15.249260 -319.190514 
-77.395336 -105.026359 -8.317778 -174.103917 
-105.026359 -77.395336 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-105.026359 -77.395336 -8.317778 -174.103917 
-105.026359 -77.395336 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-63.579824 -118.841871 -8.317778 -174.103917 
-105.026359 -77.395336 -8.317778 -174.103917 
-44.912276 -31.096764 -3.465741 -72.543299 
-17.281252 -58.727787 -3.465741 -72.543299 
-31.096764 -44.912276 -3.465741 -72.543299 
-44.912276 -31.096764 -3.465741 -72.543299 
-58.727787 -17.281252 -3.465741 -72.543299 
-19.360697 -102.253766 -5.545185 -116.069278 
-74.622743 -46.991720 -5.545185 -116.069278 
-33.176209 -88.438255 -5.545185 -116.069278 
-46.991720 -74.622743 -5.545185 -116.069278 
