R Y M K 
-5.545185 -116.069278 -88.438255 -33.176209 
-5.545185 -116.069278 -88.438255 -33.176209 
-5.545185 -116.069278 -88.438255 -33.176209 
-5.545185 -116.069278 -74.622743 -46.991720 
-5.545185 -116.069278 -74.622743 -46.991720 
-5.545185 -116.069278 -33.176209 -88.438255 
-5.545185 -116.069278 -46.991720 -74.622743 
-5.545185 -116.069278 -74.622743 -46.991720 
-6.931482 -145.086597 -89.824551 -62.193528 
-6.931482 -145.086597 -103.640063 -48.378016 
-6.931482 -145.086597 -62.193528 -89.824551 
-6.931482 -145.086597 -62.193528 -89.824551 
-6.931482 -145.086597 -76.009040 -76.009040 
-6.931482 -145.086597 -103.640063 -48.378016 
-6.931482 -145.086597 -76.009040 -76.009040 
-6.931482 -145.086597 -103.640063 -48.378016 
-6.931482 -145.086597 -89.824551 -62.193528 
-6.931482 -145.086597 -76.009040 -76.009040 
-6.931482 -145.086597 -62.193528 -89.824551 
-6.931482 -145.086597 -62.193528 -89.824551 
-6.931482 -145.086597 -117.455574 -34.562505 
-6.238334 -130.577938 -102.946915 -33.869357 
-6.238334 -130.577938 -61.500380 -75.315891 
-6.238334 -130.577938 -89.131403 -47.684868 
-6.238334 -130.577938 -89.131403 -47.684868 
-6.238334 -130.577938 -75.315891 -61.500380 
-6.238334 -130.577938 -47.684868 -89.131403 
-4.158889 -87.051958 -31.789912 -59.420935 
-4.158889 -87.051958 -45.605424 -45.605424 
-4.158889 -87.051958 -45.605424 -45.605424 
-4.158889 -87.051958 -59.420935 -31.789912 
-4.158889 -87.051958 -31.789912 -59.420935 
-4.158889 -87.051958 -45.605424 -45.605424 
-4.158889 -87.051958 -59.420935 -31.789912 
-4.158889 -87.051958 -31.789912 -59.420935 
-4.158889 -87.051958 -31.789912 -59.420935 
-4.158889 -87.051958 -73.236447 -17.974401 
-4.158889 -87.051958 -45.605424 -45.605424 
-4.158889 -87.051958 -45.605424 -45.605424 
-8.317778 -174.103917 -105.026359 -77.395336 
-8.317778 -174.103917 -132.657382 -49.764313 
-8.317778 -174.103917 -77.395336 -105.026359 
-8.317778 -174.103917 -132.657382 -49.764313 
-8.317778 -174.103917 -118.841871 -63.579824 
-15.249260 -319.190514 -139.588864 -194.850910 
-15.249260 -319.190514 -250.112956 -84.326818 
-15.249260 -319.190514 -208.666422 -125.773352 
-15.249260 -319.190514 -181.035399 -153.404376 
-15.249260 -319.190514 -153.404376 -181.035399 
-15.249260 -319.190514 -236.297445 -98.142329 
-8.317778 -174.103917 -49.764313 -132.657382 
-8.317778 -174.103917 -105.026359 -77.395336 
-8.317778 -174.103917 -63.579824 -118.841871 
-8.317778 -174.103917 -132.657382 -49.764313 
-8.317778 -174.103917 -63.579824 -118.841871 
-8.317778 -174.103917 -105.026359 -77.395336 
-8.317778 -174.103917 -77.395336 -105.026359 
-8.317778 -174.103917 -118.841871 -63.579824 
-8.317778 -174.103917 -105.026359 -77.395336 
-8.317778 -174.103917 -132.657382 -49.764313 
-3.465741 -72.543299 -44.912276 -31.096764 
-3.465741 -72.543299 -17.281252 -58.727787 
-3.465741 -72.543299 -44.912276 -31.096764 
-3.465741 -72.543299 -44.912276 -31.096764 
-3.465741 -72.543299 -44.912276 -31.096764 
-3.465741 -72.543299 -44.912276 -31.096764 
-3.465741 -72.543299 -31.096764 -44.912276 
-3.465741 -72.543299 -31.096764 -44.912276 
-5.545185 -116.069278 -46.991720 -74.622743 
-5.545185 -116.069278 -33.176209 -88.438255 
-5.545185 -116.069278 -88.438255 -33.176209 
-5.545185 -116.069278 -46.991720 -74.622743 
-5.545185 -116.069278 -46.991720 -74.622743 
-5.545185 -116.069278 -60.807232 -60.807232 
-5.545185 -116.069278 -74.622743 -46.991720 
-5.545185 -116.069278 -46.991720 -74.622743 
-6.931482 -145.086597 -89.824551 -62.193528 
-6.931482 -145.086597 -62.193528 -89.824551 
-6.931482 -145.086597 -76.009040 -76.009040 
-6.931482 -145.086597 -76.009040 -76.009040 
-6.931482 -145.086597 -103.640063 -48.378016 
-6.931482 -145.086597 -117.455574 -34.562505 
-6.931482 -145.086597 -76.009040 -76.009040 
-6.931482 -145.086597 -48.378016 -103.640063 
-6.931482 -145.086597 -89.824551 -62.193528 
-6.931482 -145.086597 -103.640063 -48.378016 
-6.931482 -145.086597 -76.009040 -76.009040 
-6.931482 -145.086597 -89.824551 -62.193528 
-6.931482 -145.086597 -76.009040 -76.009040 
-6.931482 -145.086597 -76.009040 -76.009040 
-6.931482 -145.086597 -89.824551 -62.193528 
-6.931482 -145.086597 -48.378016 -103.640063 
-6.931482 -145.086597 -89.824551 -62.193528 
-6.931482 -145.086597 -76.009040 -76.009040 
-6.931482 -145.086597 -103.640063 -48.378016 
-6.931482 -145.086597 -62.193528 -89.824551 
-6.931482 -145.086597 -89.824551 -62.193528 
-6.931482 -145.086597 -89.824551 -62.193528 
-6.931482 -145.086597 -103.640063 -48.378016 
-8.317778 -174.103917 -105.026359 -77.395336 
-8.317778 -174.103917 -63.579824 -118.841871 
-8.317778 -174.103917 -63.579824 -118.841871 
-8.317778 -174.103917 -118.841871 -63.579824 
-8.317778 -174.103917 -105.026359 -77.395336 
-8.317778 -174.103917 -105.026359 -77.395336 
-8.317778 -174.103917 -105.026359 -77.395336 
-8.317778 -174.103917 -91.210848 -91.210848 
-3.465741 -72.543299 -44.912276 -31.096764 
-3.465741 -72.543299 -17.281252 -58.727787 
-3.465741 -72.543299 -44.912276 -31.096764 
-3.465741 -72.543299 -31.096764 -44.912276 
-3.465741 -72.543299 -17.281252 -58.727787 
-3.465741 -72.543299 -58.727787 -17.281252 
-3.465741 -72.543299 -44.912276 -31.096764 
-3.465741 -72.543299 -31.096764 -44.912276 
-3.465741 -72.543299 -31.096764 -44.912276 
-3.465741 -72.543299 -31.096764 -44.912276 
-3.465741 -72.543299 -58.727787 -17.281252 
-3.465741 -72.543299 -31.096764 -44.912276 
-3.465741 -72.543299 -44.912276 -31.096764 
-4.852037 -101.560618 -60.114083 -46.298572 
-4.852037 -101.560618 -60.114083 -46.298572 
-4.852037 -101.560618 -46.298572 -60.114083 
-4.852037 -101.560618 -32.483060 -73.929595 
-4.852037 -101.560618 -46.298572 -60.114083 
-4.852037 -101.560618 -60.114083 -46.298572 
-8.317778 -174.103917 -63.579824 -118.841871 
-8.317778 -174.103917 -77.395336 -105.026359 
-8.317778 -174.103917 -91.210848 -91.210848 
-8.317778 -174.103917 -63.579824 -118.841871 
-8.317778 -174.103917 -105.026359 -77.395336 
-8.317778 -174.103917 -105.026359 -77.395336 
-8.317778 -174.103917 -105.026359 -77.395336 
-8.317778 -174.103917 -91.210848 -91.210848 
-10.397223 -217.629896 -93.290292 -134.736827 
-10.397223 -217.629896 -93.290292 -134.736827 
-10.397223 -217.629896 -120.921315 -107.105804 
-10.397223 -217.629896 -148.552338 -79.474780 
-10.397223 -217.629896 -162.367850 -65.659269 
-10.397223 -217.629896 -120.921315 -107.105804 
-10.397223 -217.629896 -79.474780 -148.552338 
-7.624630 -159.595257 -76.702188 -90.517699 
-7.624630 -159.595257 -62.886676 -104.333211 
-7.624630 -159.595257 -118.148722 -49.071165 
-7.624630 -159.595257 -90.517699 -76.702188 
-7.624630 -159.595257 -90.517699 -76.702188 
-7.624630 -159.595257 -62.886676 -104.333211 
-7.624630 -159.595257 -104.333211 -62.886676 
-7.624630 -159.595257 -104.333211 -62.886676 
-7.624630 -159.595257 -90.517699 -76.702188 
-7.624630 -159.595257 -49.071165 -118.148722 
-7.624630 -159.595257 -90.517699 -76.702188 
-7.624630 -159.595257 -90.517699 -76.702188 
-3.465741 -72.543299 -44.912276 -31.096764 
-3.465741 -72.543299 -31.096764 -44.912276 
-3.465741 -72.543299 -44.912276 -31.096764 
-3.465741 -72.543299 -31.096764 -44.912276 
-3.465741 -72.543299 -58.727787 -17.281252 
-3.465741 -72.543299 -44.912276 -31.096764 
-3.465741 -72.543299 -31.096764 -44.912276 
-8.317778 -174.103917 -77.395336 -105.026359 
-8.317778 -174.103917 -91.210848 -91.210848 
-8.317778 -174.103917 -77.395336 -105.026359 
-8.317778 -174.103917 -91.210848 -91.210848 
-8.317778 -174.103917 -132.657382 -49.764313 
-8.317778 -174.103917 -118.841871 -63.579824 
-8.317778 -174.103917 -49.764313 -132.657382 
-8.317778 -174.103917 -77.395336 -105.026359 
-8.317778 -174.103917 -105.026359 -77.395336 
-3.465741 -72.543299 -44.912276 -31.096764 
-3.465741 -72.543299 -31.096764 -44.912276 
-3.465741 -72.543299 -31.096764 -44.912276 
-3.465741 -72.543299 -17.281252 -58.727787 
-3.465741 -72.543299 -58.727787 -17.281252 
-6.931482 -145.086597 -103.640063 -48.378016 
-6.931482 -145.086597 -62.193528 -89.824551 
-6.931482 -145.086597 -117.455574 -34.562505 
-6.931482 -145.086597 -89.824551 -62.193528 
-6.931482 -145.086597 -76.009040 -76.009040 
-6.931482 -145.086597 -62.193528 -89.824551 
-6.931482 -145.086597 -76.009040 -76.009040 
-6.931482 -145.086597 -62.193528 -89.824551 
-6.931482 -145.086597 -89.824551 -62.193528 
-6.931482 -145.086597 -117.455574 -34.562505 
-6.931482 -145.086597 -34.562505 -117.455574 
-6.931482 -145.086597 -89.824551 -62.193528 
-6.931482 -145.086597 -89.824551 -62.193528 
-6.931482 -145.086597 -103.640063 -48.378016 
-6.931482 -145.086597 -103.640063 -48.378016 
-6.931482 -145.086597 -89.824551 -62.193528 
-6.931482 -145.086597 -103.640063 -48.378016 
-6.931482 -145.086597 -34.562505 -117.455574 
-6.931482 -145.086597 -76.009040 -76.009040 
-9.010926 -188.612577 -64.272973 -133.350530 
-9.010926 -188.612577 -133.350530 -64.272973 
-9.010926 -188.612577 -50.457461 -147.166042 
-9.010926 -188.612577 -133.350530 -64.272973 
-9.010926 -188.612577 -78.088484 -119.535019 
-9.010926 -188.612577 -133.350530 -64.272973 
-29.112224 -609.363709 -319.237966 -319.237966 
-29.112224 -609.363709 -291.606943 -346.868989 
-29.112224 -609.363709 -305.422455 -333.053478 
-2.772593 -58.034639 -16.588104 -44.219127 
-2.772593 -58.034639 -16.588104 -44.219127 
-2.772593 -58.034639 -16.588104 -44.219127 
-2.772593 -58.034639 -30.403616 -30.403616 
-2.772593 -58.034639 -30.403616 -30.403616 
-2.772593 -58.034639 -16.588104 -44.219127 
-2.772593 -58.034639 -30.403616 -30.403616 
-2.772593 -58.034639 -44.219127 -16.588104 
-2.772593 -58.034639 -30.403616 -30.403616 
-9.704075 -203.121236 -134.043679 -78.781632 
-9.704075 -203.121236 -134.043679 -78.781632 
-9.704075 -203.121236 -147.859190 -64.966121 
-9.704075 -203.121236 -106.412655 -106.412655 
-9.704075 -203.121236 -134.043679 -78.781632 
-9.704075 -203.121236 -78.781632 -134.043679 
-4.852037 -101.560618 -73.929595 -32.483060 
-4.852037 -101.560618 -73.929595 -32.483060 
-4.852037 -101.560618 -60.114083 -46.298572 
-4.852037 -101.560618 -73.929595 -32.483060 
-4.852037 -101.560618 -60.114083 -46.298572 
-4.852037 -101.560618 -46.298572 -60.114083 
-4.852037 -101.560618 -46.298572 -60.114083 
-4.852037 -101.560618 -73.929595 -32.483060 
-4.852037 -101.560618 -73.929595 -32.483060 
-4.852037 -101.560618 -46.298572 -60.114083 
-4.852037 -101.560618 -18.667549 -87.745107 
-4.852037 -101.560618 -32.483060 -73.929595 
-4.852037 -101.560618 -73.929595 -32.483060 
-4.852037 -101.560618 -18.667549 -87.745107 
-4.852037 -101.560618 -60.114083 -46.298572 
-12.476667 -261.155875 -150.631783 -123.000760 
-12.476667 -261.155875 -136.816271 -136.816271 
-12.476667 -261.155875 -178.262806 -95.369737 
-12.476667 -261.155875 -164.447294 -109.185248 
-12.476667 -261.155875 -95.369737 -178.262806 
-12.476667 -261.155875 -95.369737 -178.262806 
-12.476667 -261.155875 -150.631783 -123.000760 
-12.476667 -261.155875 -178.262806 -95.369737 
-12.476667 -261.155875 -164.447294 -109.185248 
-12.476667 -261.155875 -109.185248 -164.447294 
-5.545185 -116.069278 -74.622743 -46.991720 
-5.545185 -116.069278 -33.176209 -88.438255 
-5.545185 -116.069278 -74.622743 -46.991720 
-5.545185 -116.069278 -46.991720 -74.622743 
-5.545185 -116.069278 -33.176209 -88.438255 
-5.545185 -116.069278 -60.807232 -60.807232 
-5.545185 -116.069278 -74.622743 -46.991720 
-5.545185 -116.069278 -74.622743 -46.991720 
-2.079445 -43.525979 -29.710468 -15.894956 
-2.079445 -43.525979 -15.894956 -29.710468 
-2.079445 -43.525979 -29.710468 -15.894956 
-2.079445 -43.525979 -15.894956 -29.710468 
-2.079445 -43.525979 -29.710468 -15.894956 
-2.079445 -43.525979 -15.894956 -29.710468 
