R Y M K 
-116.069278 -5.545185 -46.991720 -74.622743 
-116.069278 -5.545185 -46.991720 -74.622743 
-116.069278 -5.545185 -60.807232 -60.807232 
-116.069278 -5.545185 -74.622743 -46.991720 
-116.069278 -5.545185 -60.807232 -60.807232 
-116.069278 -5.545185 -102.253766 -19.360697 
-145.086597 -6.931482 -48.378016 -103.640063 
-145.086597 -6.931482 -103.640063 -48.378016 
-145.086597 -6.931482 -103.640063 -48.378016 
-145.086597 -6.931482 -76.009040 -76.009040 
-145.086597 -6.931482 -103.640063 -48.378016 
-145.086597 -6.931482 -89.824551 -62.193528 
-145.086597 -6.931482 -76.009040 -76.009040 
-145.086597 -6.931482 -76.009040 -76.009040 
-145.086597 -6.931482 -103.640063 -48.378016 
-145.086597 -6.931482 -103.640063 -48.378016 
-130.577938 -6.238334 -89.131403 -47.684868 
-130.577938 -6.238334 -75.315891 -61.500380 
-130.577938 -6.238334 -75.315891 -61.500380 
-130.577938 -6.238334 -75.315891 -61.500380 
-130.577938 -6.238334 -61.500380 -75.315891 
-130.577938 -6.238334 -116.762426 -20.053845 
-87.051958 -4.158889 -73.236447 -17.974401 
-87.051958 -4.158889 -59.420935 -31.789912 
-87.051958 -4.158889 -45.605424 -45.605424 
-87.051958 -4.158889 -59.420935 -31.789912 
-87.051958 -4.158889 -45.605424 -45.605424 
-87.051958 -4.158889 -45.605424 -45.605424 
-174.103917 -8.317778 -77.395336 -105.026359 
-174.103917 -8.317778 -146.472894 -35.948801 
-174.103917 -8.317778 -91.210848 -91.210848 
-174.103917 -8.317778 -146.472894 -35.948801 
-174.103917 -8.317778 -35.948801 -146.472894 
-319.190514 -15.249260 -167.219887 -167.219887 
-319.190514 -15.249260 -222.481933 -111.957841 
-319.190514 -15.249260 -208.666422 -125.773352 
-319.190514 -15.249260 -194.850910 -139.588864 
-319.190514 -15.249260 -181.035399 -153.404376 
-319.190514 -15.249260 -153.404376 -181.035399 
-319.190514 -15.249260 -194.850910 -139.588864 
-174.103917 -8.317778 -105.026359 -77.395336 
-174.103917 -8.317778 -91.210848 -91.210848 
-174.103917 -8.317778 -105.026359 -77.395336 
-174.103917 -8.317778 -63.579824 -118.841871 
-174.103917 -8.317778 -132.657382 -49.764313 
